distance,cab_type,hour,demand,price
1,bike,23,1.2,32
14,auto,22,1.2,194
22,auto,9,1.3,330
26,auto,8,1.3,382
6,auto,19,1.5,128
13,auto,17,1.5,234
7,cab,15,1.0,161
1,auto,10,1.3,42
25,auto,1,1.2,333
21,cab,23,1.2,441
20,auto,6,1.0,228
24,bike,13,1.0,209
20,bike,9,1.3,239
28,bike,20,1.5,361
6,auto,5,1.2,104
16,cab,10,1.3,385
30,bike,19,1.5,389
23,cab,3,1.2,474
26,bike,13,1.0,230
18,auto,3,1.2,259
28,cab,14,1.0,476
13,auto,19,1.5,243
12,bike,23,1.2,140
19,auto,22,1.2,258
14,cab,23,1.2,306
21,cab,22,1.2,439
22,bike,15,1.0,193
6,bike,21,1.5,105
2,cab,1,1.2,87
30,cab,20,1.5,740
21,cab,20,1.5,548
19,auto,12,1.0,211
14,cab,15,1.0,251
1,bike,4,1.2,40
9,cab,9,1.3,247
1,bike,5,1.2,42
30,cab,10,1.3,652
22,bike,6,1.0,195
25,auto,3,1.2,345
7,cab,4,1.2,178
11,bike,11,1.3,141
15,bike,12,1.0,138
17,bike,19,1.5,226
4,bike,14,1.0,52
8,bike,23,1.2,91
25,cab,14,1.0,421
23,bike,7,1.0,197
21,bike,23,1.2,231
15,bike,21,1.5,203
3,auto,19,1.5,94
6,auto,6,1.0,98
16,auto,21,1.5,286
13,cab,0,1.2,293
22,bike,5,1.2,241
19,bike,1,1.2,207
22,cab,4,1.2,449
24,cab,21,1.5,610
3,bike,12,1.0,34
17,cab,0,1.2,373
2,auto,23,1.2,56
4,bike,19,1.5,71
17,bike,0,1.2,180
21,cab,15,1.0,356
17,bike,14,1.0,165
23,auto,16,1.0,266
16,bike,0,1.2,183
9,bike,23,1.2,117
29,cab,16,1.0,484
11,cab,21,1.5,319
5,cab,11,1.3,161
4,cab,15,1.0,101
12,cab,20,1.5,354
16,bike,14,1.0,142
19,bike,5,1.2,210
27,cab,3,1.2,548
5,bike,11,1.3,79
15,cab,11,1.3,353
5,bike,6,1.0,68
27,bike,8,1.3,311
15,auto,20,1.5,274
29,auto,6,1.0,325
17,bike,21,1.5,232
11,auto,9,1.3,184
20,cab,12,1.0,354
10,auto,11,1.3,159
11,auto,19,1.5,206
27,auto,2,1.2,358
30,auto,18,1.5,494
3,bike,3,1.2,47
29,bike,8,1.3,335
16,cab,16,1.0,289
10,cab,22,1.2,230
16,auto,17,1.5,295
30,cab,18,1.5,741
30,cab,5,1.2,601
2,cab,10,1.3,96
30,auto,4,1.2,391
23,cab,0,1.2,474
10,bike,21,1.5,140
3,cab,16,1.0,89
5,cab,5,1.2,149
17,cab,23,1.2,359
18,bike,13,1.0,169
6,bike,4,1.2,86
14,bike,14,1.0,130
19,auto,1,1.2,263
22,auto,22,1.2,295
11,auto,9,1.3,176
21,auto,6,1.0,234
14,auto,23,1.2,201
29,auto,3,1.2,388
15,bike,10,1.3,185
7,cab,13,1.0,149
20,bike,22,1.2,212
7,cab,20,1.5,237
11,cab,10,1.3,289
19,bike,18,1.5,264
15,bike,16,1.0,139
27,auto,17,1.5,447
8,auto,18,1.5,163
6,bike,12,1.0,66
7,cab,14,1.0,161
17,auto,15,1.0,196
19,bike,21,1.5,254
22,bike,3,1.2,230
15,auto,5,1.2,221
26,auto,9,1.3,369
30,cab,17,1.5,753
30,bike,0,1.2,313
19,bike,21,1.5,263
28,cab,11,1.3,620
2,cab,1,1.2,101
28,cab,0,1.2,572
5,cab,7,1.0,130
26,auto,10,1.3,380
24,auto,6,1.0,261
27,auto,23,1.2,351
22,bike,21,1.5,295
5,auto,17,1.5,117
3,bike,2,1.2,57
30,bike,10,1.3,335
5,auto,19,1.5,123
9,cab,23,1.2,222
8,cab,3,1.2,203
14,auto,8,1.3,223
12,cab,12,1.0,239
20,auto,5,1.2,272
1,auto,4,1.2,39
30,cab,18,1.5,747
11,bike,3,1.2,126
12,bike,13,1.0,123
2,cab,17,1.5,116
4,auto,4,1.2,84
28,auto,12,1.0,308
15,cab,15,1.0,267
29,bike,9,1.3,330
3,bike,20,1.5,59
22,bike,21,1.5,286
16,cab,4,1.2,350
12,auto,15,1.0,153
26,bike,7,1.0,231
21,cab,13,1.0,373
18,cab,22,1.2,392
18,bike,21,1.5,236
5,bike,11,1.3,68
9,cab,18,1.5,274
18,cab,15,1.0,316
6,auto,11,1.3,125
17,bike,12,1.0,149
23,cab,14,1.0,389
10,bike,12,1.0,105
28,auto,12,1.0,311
2,auto,14,1.0,53
5,cab,14,1.0,118
12,bike,19,1.5,184
25,auto,7,1.0,279
5,bike,4,1.2,82
4,bike,18,1.5,80
18,auto,21,1.5,320
3,auto,2,1.2,67
2,bike,3,1.2,43
3,auto,22,1.2,79
8,bike,17,1.5,134
11,bike,21,1.5,172
23,bike,5,1.2,249
28,auto,13,1.0,318
1,auto,17,1.5,54
11,cab,10,1.3,287
5,auto,16,1.0,74
10,bike,0,1.2,125
6,bike,2,1.2,85
29,auto,9,1.3,415
29,bike,2,1.2,310
13,bike,19,1.5,178
10,cab,3,1.2,241
1,auto,10,1.3,48
26,bike,23,1.2,269
12,auto,9,1.3,205
30,auto,16,1.0,339
24,auto,20,1.5,411
6,auto,1,1.2,117
6,bike,5,1.2,77
8,auto,4,1.2,139
13,auto,5,1.2,191
28,bike,2,1.2,292
28,bike,13,1.0,239
4,cab,19,1.5,161
12,cab,16,1.0,225
4,cab,20,1.5,157
2,bike,11,1.3,56
5,auto,2,1.2,90
10,auto,18,1.5,204
12,auto,3,1.2,188
18,auto,9,1.3,268
5,auto,20,1.5,112
12,cab,19,1.5,339
19,cab,2,1.2,411
3,auto,7,1.0,60
12,cab,20,1.5,343
4,auto,13,1.0,72
6,cab,23,1.2,176
21,cab,13,1.0,373
16,auto,15,1.0,181
4,bike,6,1.0,51
13,bike,21,1.5,193
8,cab,12,1.0,160
2,bike,2,1.2,37
17,auto,13,1.0,195
23,cab,21,1.5,602
11,bike,2,1.2,127
26,cab,9,1.3,567
4,cab,2,1.2,137
27,auto,18,1.5,450
22,auto,1,1.2,300
21,cab,10,1.3,465
25,bike,12,1.0,219
13,auto,12,1.0,158
7,auto,21,1.5,154
5,auto,1,1.2,95
18,cab,11,1.3,410
11,cab,18,1.5,328
21,bike,0,1.2,227
27,cab,9,1.3,592
9,auto,14,1.0,112
11,bike,9,1.3,131
16,cab,11,1.3,380
27,bike,15,1.0,241
6,bike,14,1.0,70
12,cab,20,1.5,353
5,cab,1,1.2,140
8,auto,8,1.3,148
20,bike,5,1.2,223
30,cab,1,1.2,598
28,cab,9,1.3,606
22,bike,21,1.5,299
2,bike,8,1.3,44
13,bike,12,1.0,117
25,bike,2,1.2,259
3,auto,13,1.0,58
1,auto,7,1.0,31
29,bike,19,1.5,368
4,auto,21,1.5,113
14,cab,15,1.0,259
23,cab,1,1.2,477
5,auto,17,1.5,124
23,auto,22,1.2,304
15,bike,2,1.2,177
2,cab,6,1.0,78
8,cab,1,1.2,197
17,cab,0,1.2,375
10,cab,5,1.2,230
13,auto,7,1.0,163
19,cab,13,1.0,340
14,cab,9,1.3,341
4,cab,5,1.2,134
14,bike,3,1.2,159
10,cab,23,1.2,237
29,auto,16,1.0,326
26,cab,21,1.5,654
6,bike,17,1.5,104
5,bike,18,1.5,96
11,auto,11,1.3,187
2,cab,1,1.2,95
10,bike,1,1.2,110
3,bike,5,1.2,47
21,auto,18,1.5,365
28,auto,3,1.2,377
8,auto,16,1.0,120
29,cab,9,1.3,629
11,bike,2,1.2,136
16,auto,23,1.2,226
24,cab,16,1.0,414
24,cab,0,1.2,500
16,cab,2,1.2,345
4,bike,19,1.5,77
25,cab,15,1.0,430
22,cab,7,1.0,380
1,cab,21,1.5,102
18,auto,4,1.2,255
2,cab,15,1.0,76
4,auto,12,1.0,70
7,bike,8,1.3,99
24,auto,5,1.2,318
5,auto,4,1.2,100
19,auto,3,1.2,259
15,bike,23,1.2,166
12,auto,11,1.3,202
29,auto,5,1.2,383
4,cab,6,1.0,120
23,auto,6,1.0,269
29,bike,17,1.5,380
12,cab,23,1.2,274
21,cab,2,1.2,434
3,bike,3,1.2,58
5,cab,3,1.2,145
10,bike,11,1.3,123
24,bike,2,1.2,259
2,bike,2,1.2,51
21,cab,13,1.0,355
22,cab,2,1.2,465
4,auto,6,1.0,77
2,bike,20,1.5,50
21,auto,13,1.0,241
1,bike,23,1.2,37
19,auto,15,1.0,223
16,bike,2,1.2,179
27,cab,0,1.2,538
1,bike,6,1.0,21
27,cab,23,1.2,537
25,auto,11,1.3,374
